"trainer/global_step","crisp-sweep-10 - _step","crisp-sweep-10 - _step__MIN","crisp-sweep-10 - _step__MAX","crisp-sweep-10 - train_loss_step","crisp-sweep-10 - train_loss_step__MIN","crisp-sweep-10 - train_loss_step__MAX"
"49","79.5","1","158","2.0692689418792725","2.0346875190734863","2.1038503646850586"
"99","80.5","2","159","1.987308144569397","1.9166927337646484","2.0579235553741455"
"149","81.5","3","160","1.636036992073059","1.5982277393341064","1.6738462448120117"
"199","82.5","4","161","1.9020068049430847","1.8200511932373047","1.9839624166488647"
"249","83.5","5","162","1.781992256641388","1.620781660079956","1.9432028532028198"
"299","84.5","6","163","1.7349355816841125","1.564298391342163","1.905572772026062"
"349","85.5","7","164","1.4708558917045593","1.433821678161621","1.5078901052474976"
"399","86.5","8","165","1.6180377006530762","1.5166547298431396","1.7194206714630127"
"449","87.5","9","166","1.5544540286064148","1.508920431137085","1.5999876260757446"
"499","88.5","10","167","1.6237567067146301","1.5184847116470337","1.7290287017822266"
"549","89.5","11","168","1.5102252960205078","1.3523430824279785","1.668107509613037"
"599","90.5","12","169","1.3488919138908386","1.146289348602295","1.5514944791793823"
"649","91.5","13","170","1.5902027487754822","1.5280009508132935","1.652404546737671"
"699","92.5","14","171","1.4132245779037476","1.3627383708953857","1.4637107849121094"
"749","93.5","15","172","1.2264946699142456","1.0037181377410889","1.4492712020874023"
"799","94.5","16","173","1.4570409655570984","1.425512671470642","1.4885692596435547"
"849","95.5","17","174","1.2230123281478882","1.217345952987671","1.2286787033081055"
"899","96.5","18","175","1.4018325805664062","1.20598566532135","1.5976794958114624"
"949","97.5","19","176","1.3696873188018799","1.2677702903747559","1.471604347229004"
"999","98.5","20","177","1.2063724994659424","1.0472474098205566","1.3654975891113281"
"1049","99.5","21","178","1.4454265832901","1.436854362487793","1.4539988040924072"
"1099","100.5","22","179","1.3053137063980103","1.2912893295288086","1.319338083267212"
"1149","101.5","23","180","1.312628149986267","1.1794649362564087","1.4457913637161255"
"1199","102.5","24","181","1.280246615409851","1.1024973392486572","1.457995891571045"
"1249","103.5","25","182","1.3019326329231262","1.2584067583084106","1.3454585075378418"
"1299","104.5","26","183","1.4462826251983643","1.3707382678985596","1.521826982498169"
"1349","105.5","27","184","1.3724087476730347","1.302966594696045","1.4418509006500244"
"1399","106.5","28","185","1.2982332110404968","1.193359613418579","1.4031068086624146"
"1449","110.5","32","189","0.9552211463451385","0.8474423289299011","1.062999963760376"
"1499","111.5","33","190","1.152250051498413","1.0681805610656738","1.2363195419311523"
"1549","112.5","34","191","1.2496905326843262","1.197282075881958","1.3020989894866943"
"1599","113.5","35","192","1.2422017455101013","1.1119310855865479","1.3724724054336548"
"1649","114.5","36","193","1.0501102209091187","0.8745849132537842","1.2256355285644531"
"1699","115.5","37","194","1.067444384098053","1.011934757232666","1.12295401096344"
"1749","116.5","38","195","1.1637606620788574","0.9992110729217529","1.328310251235962"
"1799","117.5","39","196","1.0817671120166779","0.9854860901832581","1.1780481338500977"
"1849","118.5","40","197","1.0994688272476196","1.0848925113677979","1.1140451431274414"
"1899","119.5","41","198","1.372747778892517","1.1236214637756348","1.6218740940093994"
"1949","120.5","42","199","1.0374351143836975","0.9407569169998169","1.1341133117675781"
"1999","121.5","43","200","1.0855480432510376","0.9926172494888306","1.1784788370132446"
"2049","122.5","44","201","1.2043278217315674","1.0714002847671509","1.3372553586959839"
"2099","123.5","45","202","0.8775683343410492","0.8646647334098816","0.8904719352722168"
"2149","124.5","46","203","1.1925755143165588","1.1870588064193726","1.1980922222137451"
"2199","125.5","47","204","0.9515302777290344","0.869324803352356","1.033735752105713"
"2249","126.5","48","205","1.1619719862937927","1.0242046117782593","1.2997393608093262"
"2299","127.5","49","206","1.1344168484210968","0.9247670769691467","1.3440666198730469"
"2349","128.5","50","207","1.1108123660087585","0.9481627941131592","1.273461937904358"
"2399","129.5","51","208","0.9446458518505096","0.9310728311538696","0.9582188725471497"
"2449","130.5","52","209","1.3589750528335571","1.1296546459197998","1.5882954597473145"
"2499","131.5","53","210","1.1151725351810455","0.9959085583686829","1.2344365119934082"
"2549","132.5","54","211","0.9344882965087891","0.8448442220687866","1.0241323709487915"
"2599","133.5","55","212","1.004202425479889","0.9134824275970459","1.094922423362732"
"2649","134.5","56","213","1.010745644569397","1.0102880001068115","1.0112032890319824"
"2699","135.5","57","214","1.0273860692977905","0.9926784038543701","1.062093734741211"
"2749","136.5","58","215","1.010233223438263","0.8877581357955933","1.1327083110809326"
